Transaction ID;Date;Time;Card Type;Entry Mode;Amount;Transaction Type;Merchant Group;Transaction Country;Shipping Address;Billing Address;Gender;Age;Issuing Bank;Fraudulent
33;04/10/2023;19:54;Visa;PIN;239.61;Online;ATM Withdrawal;Germany;295 Elm St;101 Elm St;Male;50;DEF Bank;No
34;29/09/2023;20:19;Visa;PIN;391.64;POS;Clothing;France;166 Pine St;995 Redwood St;Male;19;XYZ Bank;No
35;06/10/2023;13:06;Visa;Tap;304.95;ATM;ATM Withdrawal;France;105 Birch St;512 Elm St;Female;50;ABC Bank;No
36;27/09/2023;05:55;Visa;PIN;106.52;Online;ATM Withdrawal;Germany;865 Cedar St;508 Main St;Male;48;ABC Bank;No
37;26/09/2023;07:24;Visa;Tap;98.55;Online;Electronics;Germany;928 Elm St;567 Birch St;Male;57;ABC Bank;No
38;22/10/2023;10:10;MasterCard;Tap;300.46;Online;Electronics;UK;278 Maple St;683 Main St;Male;35;ABC Bank;No
39;13/10/2023;02:13;Visa;Tap;77.95;ATM;Electronics;UK;861 Redwood St;120 Oak St;Female;67;XYZ Bank;No
40;02/10/2023;21:27;MasterCard;Tap;378.69;ATM;Retail;Germany;489 Oak St;427 Oak St;Male;47;XYZ Bank;No
41;03/10/2023;06:41;Visa;Tap;414.99;ATM;Clothing;Canada;550 Oak St;148 Elm St;Female;42;XYZ Bank;No
42;07/10/2023;18:13;Visa;PIN;177.09;ATM;Electronics;Canada;746 Main St;819 Redwood St;Female;23;XYZ Bank;No
43;17/09/2023;00:22;MasterCard;Tap;346.46;POS;ATM Withdrawal;Italy;630 Cedar St;118 Cedar St;Female;60;XYZ Bank;No
44;09/10/2023;02:30;MasterCard;Tap;290.48;Online;Clothing;Canada;380 Redwood St;913 Maple St;Female;19;XYZ Bank;No
45;18/10/2023;08:31;Visa;PIN;274.02;POS;Electronics;France;686 Main St;741 Oak St;Female;43;ABC Bank;No
46;28/09/2023;19:17;MasterCard;PIN;429.58;Online;Retail;Canada;119 Redwood St;436 Elm St;Female;18;XYZ Bank;No
47;18/09/2023;23:47;MasterCard;Tap;478.84;ATM;ATM Withdrawal;France;91 Elm St;374 Elm St;Male;21;XYZ Bank;No
48;05/10/2023;05:18;Visa;PIN;384.63;Online;Electronics;Canada;34 Main St;522 Redwood St;Male;33;DEF Bank;No
49;04/10/2023;01:06;MasterCard;Tap;498.58;Online;Food;Italy;102 Maple St;413 Elm St;Female;48;DEF Bank;No
50;13/10/2023;23:51;Visa;PIN;281.16;Online;Retail;Italy;368 Pine St;604 Pine St;Male;41;XYZ Bank;No
51;28/09/2023;21:09;MasterCard;PIN;122.48;Online;Food;Spain;58 Pine St;927 Elm St;Male;27;DEF Bank;No
52;09/10/2023;10:27;MasterCard;Tap;20.18;ATM;Grocery;France;694 Elm St;839 Oak St;Female;35;ABC Bank;No
53;27/09/2023;10:12;Visa;Tap;43.79;POS;Clothing;France;832 Oak St;968 Oak St;Male;55;ABC Bank;No
54;21/09/2023;15:49;Visa;Tap;424.64;POS;ATM Withdrawal;France;449 Pine St;586 Oak St;Male;27;XYZ Bank;No
55;03/10/2023;21:16;MasterCard;Tap;244.99;POS;Retail;Germany;450 Oak St;95 Elm St;Female;19;XYZ Bank;No
56;21/09/2023;09:40;Visa;PIN;497.1;POS;Retail;Italy;890 Birch St;567 Oak St;Female;30;DEF Bank;No
57;24/09/2023;21:45;Visa;Tap;226.29;ATM;ATM Withdrawal;France;61 Main St;185 Main St;Female;22;DEF Bank;No
58;19/09/2023;17:46;Visa;PIN;221.6;ATM;Food;Spain;655 Cedar St;543 Elm St;Male;26;DEF Bank;No
59;05/10/2023;00:02;Visa;Tap;115.09;ATM;Grocery;Germany;421 Maple St;555 Birch St;Male;64;ABC Bank;No
60;17/10/2023;17:25;Visa;PIN;268.14;Online;Grocery;USA;17 Maple St;58 Cedar St;Male;45;DEF Bank;No
61;05/10/2023;05:36;MasterCard;Tap;359.64;Online;ATM Withdrawal;USA;365 Redwood St;417 Birch St;Male;51;XYZ Bank;No
62;19/09/2023;21:25;Visa;Tap;314.02;POS;Food;UK;508 Cedar St;81 Main St;Male;68;ABC Bank;No
63;19/09/2023;12:04;MasterCard;PIN;412.39;POS;Retail;Canada;51 Main St;941 Birch St;Female;65;DEF Bank;No
64;26/09/2023;08:27;Visa;PIN;274.69;ATM;Clothing;UK;914 Oak St;521 Pine St;Male;45;DEF Bank;No
65;23/09/2023;10:23;Visa;PIN;174.31;Online;Electronics;Spain;857 Cedar St;263 Oak St;Male;64;ABC Bank;No
66;20/10/2023;04:35;MasterCard;PIN;240.66;POS;Electronics;USA;384 Redwood St;65 Maple St;Male;63;ABC Bank;No
67;07/10/2023;12:59;Visa;PIN;148.47;POS;Grocery;Germany;164 Redwood St;776 Maple St;Male;60;DEF Bank;No
68;17/09/2023;15:52;MasterCard;PIN;432.8;ATM;ATM Withdrawal;Italy;774 Pine St;196 Birch St;Male;51;ABC Bank;No
69;28/09/2023;17:49;Visa;PIN;448.7;POS;Retail;Italy;701 Pine St;307 Elm St;Female;45;XYZ Bank;No
70;06/10/2023;23:40;MasterCard;PIN;120.85;Online;Retail;Canada;451 Cedar St;425 Redwood St;Female;59;ABC Bank;No
71;17/09/2023;13:11;MasterCard;PIN;292.81;POS;Grocery;USA;347 Pine St;731 Cedar St;Male;41;ABC Bank;No
72;17/10/2023;17:55;MasterCard;PIN;124.15;POS;Electronics;Germany;362 Redwood St;385 Redwood St;Male;63;DEF Bank;No
73;17/09/2023;23:36;MasterCard;PIN;235.56;POS;Electronics;Italy;559 Redwood St;517 Redwood St;Male;64;XYZ Bank;No
74;29/09/2023;13:07;MasterCard;Tap;108.99;Online;Grocery;UK;751 Birch St;726 Birch St;Female;49;ABC Bank;No
75;21/10/2023;01:19;Visa;PIN;311.83;ATM;Clothing;Canada;253 Oak St;79 Maple St;Female;46;XYZ Bank;No
76;26/09/2023;09:02;MasterCard;PIN;295.22;Online;ATM Withdrawal;Italy;894 Oak St;345 Elm St;Male;19;ABC Bank;No
77;12/10/2023;10:40;Visa;PIN;485.0;POS;ATM Withdrawal;Canada;27 Main St;166 Birch St;Male;64;DEF Bank;No
78;02/10/2023;20:09;MasterCard;PIN;476.0;ATM;Retail;UK;782 Redwood St;99 Cedar St;Male;68;ABC Bank;No
79;19/10/2023;12:51;MasterCard;Tap;446.98;POS;Grocery;Germany;615 Oak St;52 Birch St;Female;65;ABC Bank;No
80;20/09/2023;20:56;Visa;Tap;234.13;ATM;Food;UK;391 Maple St;412 Elm St;Female;40;XYZ Bank;No
81;15/10/2023;04:14;Visa;Tap;199.86;POS;Electronics;France;298 Elm St;722 Cedar St;Female;41;XYZ Bank;No
82;18/09/2023;21:32;Visa;PIN;55.42;ATM;ATM Withdrawal;UK;294 Pine St;584 Pine St;Male;23;XYZ Bank;No
83;14/10/2023;18:41;Visa;PIN;234.67;POS;Food;France;22 Birch St;764 Pine St;Female;67;DEF Bank;No
84;16/10/2023;10:50;Visa;PIN;264.22;Online;Electronics;USA;161 Oak St;196 Birch St;Female;57;XYZ Bank;No
85;12/10/2023;04:54;Visa;PIN;339.59;Online;Electronics;France;971 Oak St;207 Pine St;Male;61;DEF Bank;No
86;05/10/2023;16:22;MasterCard;Tap;347.87;Online;Food;UK;744 Cedar St;873 Pine St;Male;32;ABC Bank;No
87;08/10/2023;07:55;MasterCard;PIN;30.96;POS;Retail;Canada;963 Main St;839 Birch St;Male;36;DEF Bank;No
88;14/10/2023;07:11;MasterCard;PIN;132.05;POS;Clothing;Canada;524 Birch St;673 Redwood St;Female;58;ABC Bank;No
89;17/10/2023;18:31;MasterCard;PIN;499.33;ATM;Grocery;Italy;677 Maple St;471 Cedar St;Male;37;XYZ Bank;No
90;18/09/2023;20:10;MasterCard;Tap;498.55;POS;Grocery;Spain;210 Main St;903 Cedar St;Female;37;ABC Bank;No
91;16/10/2023;21:37;Visa;Tap;105.24;Online;Electronics;Italy;98 Elm St;227 Maple St;Male;46;DEF Bank;No
92;16/10/2023;05:38;Visa;Tap;31.76;ATM;Electronics;Italy;536 Pine St;945 Pine St;Female;43;ABC Bank;Yes
93;21/09/2023;10:53;Visa;Tap;385.54;POS;Food;Spain;871 Pine St;499 Pine St;Male;65;ABC Bank;No
94;25/09/2023;14:21;Visa;Tap;393.86;Online;Grocery;France;982 Oak St;516 Maple St;Female;70;DEF Bank;No
95;06/10/2023;23:23;Visa;PIN;329.79;ATM;Electronics;Germany;932 Oak St;123 Elm St;Female;31;ABC Bank;No
96;22/09/2023;12:01;MasterCard;PIN;357.77;POS;ATM Withdrawal;France;889 Redwood St;341 Cedar St;Female;34;DEF Bank;No
97;20/09/2023;01:22;MasterCard;Tap;310.99;ATM;Food;Germany;693 Oak St;454 Elm St;Female;31;XYZ Bank;No
98;12/10/2023;19:31;Visa;Tap;333.61;ATM;ATM Withdrawal;Canada;795 Pine St;285 Main St;Female;67;XYZ Bank;No
99;18/09/2023;06:31;MasterCard;Tap;454.83;ATM;Grocery;UK;800 Main St;736 Cedar St;Male;62;XYZ Bank;No
100;22/10/2023;22:12;MasterCard;Tap;435.84;Online;Electronics;Italy;671 Cedar St;825 Redwood St;Male;35;XYZ Bank;No
101;21/09/2023;13:37;Visa;PIN;403.91;Online;Retail;UK;828 Cedar St;1 Pine St;Male;48;ABC Bank;No
102;21/10/2023;14:41;MasterCard;PIN;394.61;Online;Clothing;Germany;569 Cedar St;456 Pine St;Male;51;ABC Bank;No
103;21/09/2023;12:20;Visa;PIN;298.18;Online;Retail;Spain;810 Oak St;12 Elm St;Female;56;ABC Bank;No
104;18/10/2023;12:31;Visa;Tap;498.59;ATM;Grocery;UK;276 Birch St;475 Elm St;Female;51;ABC Bank;No
105;22/10/2023;16:53;MasterCard;PIN;384.84;POS;Clothing;France;452 Pine St;97 Birch St;Female;41;XYZ Bank;No
106;29/09/2023;19:52;MasterCard;Tap;454.54;Online;Clothing;Canada;931 Pine St;409 Maple St;Male;36;ABC Bank;No
107;14/10/2023;11:15;Visa;PIN;65.17;POS;Food;USA;779 Main St;96 Pine St;Female;69;ABC Bank;No
108;24/09/2023;13:33;Visa;Tap;189.37;POS;Retail;UK;637 Birch St;595 Birch St;Male;69;XYZ Bank;No
109;11/10/2023;07:51;Visa;PIN;48.14;POS;ATM Withdrawal;UK;645 Pine St;306 Cedar St;Male;52;XYZ Bank;No
110;22/10/2023;11:40;MasterCard;Tap;397.37;ATM;Retail;UK;86 Redwood St;372 Maple St;Male;53;XYZ Bank;No
111;05/10/2023;05:00;Visa;Tap;104.06;ATM;Clothing;Spain;547 Oak St;488 Main St;Female;28;XYZ Bank;No
112;22/10/2023;16:04;MasterCard;PIN;190.63;Online;Grocery;Italy;583 Maple St;912 Redwood St;Male;70;XYZ Bank;No
113;27/09/2023;14:38;MasterCard;Tap;242.97;Online;ATM Withdrawal;UK;79 Maple St;811 Redwood St;Male;50;XYZ Bank;Yes
114;17/09/2023;05:38;MasterCard;Tap;220.65;ATM;Clothing;Canada;196 Oak St;414 Redwood St;Male;62;XYZ Bank;No
115;12/10/2023;11:50;MasterCard;PIN;479.68;POS;ATM Withdrawal;USA;856 Main St;61 Oak St;Female;54;ABC Bank;No
116;11/10/2023;00:08;Visa;PIN;129.68;Online;Electronics;USA;646 Maple St;367 Main St;Male;47;XYZ Bank;No
117;24/09/2023;13:17;Visa;PIN;341.04;Online;ATM Withdrawal;UK;668 Pine St;167 Main St;Female;32;XYZ Bank;No
118;05/10/2023;15:39;MasterCard;PIN;316.3;POS;ATM Withdrawal;Canada;571 Redwood St;280 Pine St;Male;50;ABC Bank;No
119;06/10/2023;11:44;MasterCard;Tap;26.11;Online;Clothing;Germany;434 Main St;73 Pine St;Male;42;DEF Bank;No
120;17/09/2023;18:09;Visa;PIN;76.44;ATM;Grocery;UK;287 Maple St;833 Oak St;Male;34;XYZ Bank;No
121;06/10/2023;13:47;Visa;PIN;220.6;POS;Food;Italy;141 Oak St;777 Elm St;Male;40;DEF Bank;No
122;09/10/2023;23:33;MasterCard;Tap;284.25;POS;ATM Withdrawal;UK;725 Birch St;916 Birch St;Female;23;ABC Bank;No
123;21/09/2023;13:10;Visa;Tap;239.08;ATM;Retail;Canada;831 Maple St;730 Oak St;Male;25;XYZ Bank;Yes
124;04/10/2023;09:15;MasterCard;PIN;469.83;POS;Grocery;USA;173 Oak St;222 Pine St;Male;46;DEF Bank;No
125;09/10/2023;16:01;MasterCard;PIN;205.88;POS;ATM Withdrawal;UK;613 Cedar St;505 Maple St;Male;25;ABC Bank;No
126;09/10/2023;02:35;MasterCard;Tap;495.78;POS;ATM Withdrawal;Spain;538 Birch St;298 Redwood St;Female;41;ABC Bank;No
127;21/09/2023;06:04;MasterCard;Tap;130.89;Online;Food;Spain;5 Pine St;983 Elm St;Male;20;ABC Bank;No
128;10/10/2023;11:54;MasterCard;Tap;353.48;Online;Clothing;France;345 Birch St;990 Pine St;Male;56;XYZ Bank;Yes
129;19/09/2023;19:59;MasterCard;PIN;479.19;ATM;Retail;USA;731 Cedar St;495 Oak St;Female;42;XYZ Bank;No
130;09/10/2023;01:22;MasterCard;PIN;404.29;ATM;Food;France;898 Redwood St;957 Elm St;Female;52;ABC Bank;No
131;16/10/2023;02:10;MasterCard;Tap;110.17;Online;Grocery;USA;229 Redwood St;273 Main St;Male;54;DEF Bank;No
132;16/10/2023;18:11;Visa;Tap;295.91;ATM;Grocery;Canada;932 Oak St;571 Elm St;Female;66;DEF Bank;No
133;08/10/2023;14:03;Visa;PIN;458.11;Online;ATM Withdrawal;UK;210 Cedar St;507 Oak St;Male;70;DEF Bank;No
134;14/10/2023;14:08;MasterCard;PIN;357.45;POS;Retail;Spain;829 Oak St;276 Main St;Female;40;XYZ Bank;No
135;23/09/2023;12:27;Visa;PIN;265.19;Online;Food;Germany;24 Birch St;978 Birch St;Male;55;DEF Bank;No
136;20/10/2023;19:54;MasterCard;Tap;286.18;ATM;ATM Withdrawal;France;175 Birch St;675 Redwood St;Female;21;DEF Bank;No
137;10/10/2023;08:27;MasterCard;Tap;273.11;ATM;ATM Withdrawal;Canada;830 Elm St;848 Elm St;Male;45;DEF Bank;No
138;03/10/2023;16:47;Visa;Tap;172.35;ATM;ATM Withdrawal;Spain;353 Pine St;932 Redwood St;Male;44;XYZ Bank;Yes
139;03/10/2023;17:51;MasterCard;PIN;168.13;POS;Electronics;France;140 Cedar St;515 Pine St;Female;47;XYZ Bank;No
140;15/10/2023;22:01;Visa;Tap;428.09;Online;Clothing;France;425 Oak St;287 Pine St;Female;43;DEF Bank;No
141;30/09/2023;07:48;Visa;Tap;244.73;Online;Electronics;UK;128 Oak St;292 Maple St;Male;29;XYZ Bank;No
142;15/10/2023;12:16;Visa;PIN;87.95;Online;Grocery;Spain;110 Redwood St;673 Redwood St;Male;61;XYZ Bank;No
143;24/09/2023;09:28;MasterCard;PIN;367.09;Online;Clothing;UK;646 Redwood St;90 Elm St;Female;24;ABC Bank;No
144;27/09/2023;03:31;Visa;PIN;141.71;ATM;Food;USA;493 Birch St;551 Pine St;Female;48;DEF Bank;No
145;22/09/2023;14:38;MasterCard;Tap;80.99;Online;Electronics;Italy;633 Main St;497 Elm St;Female;67;DEF Bank;No
146;22/09/2023;15:48;Visa;Tap;432.43;Online;Clothing;France;749 Main St;32 Redwood St;Male;38;XYZ Bank;No
147;17/09/2023;06:39;Visa;PIN;452.12;POS;Food;France;264 Oak St;678 Main St;Female;62;ABC Bank;No
148;07/10/2023;13:15;Visa;Tap;149.42;ATM;ATM Withdrawal;USA;564 Main St;144 Oak St;Female;70;XYZ Bank;No
149;28/09/2023;12:15;MasterCard;PIN;38.16;POS;ATM Withdrawal;USA;405 Oak St;368 Elm St;Male;33;XYZ Bank;No
150;16/10/2023;21:46;MasterCard;Tap;100.65;POS;Food;Spain;78 Redwood St;599 Pine St;Male;36;DEF Bank;No
151;15/10/2023;13:08;MasterCard;Tap;232.71;Online;Electronics;UK;514 Maple St;936 Birch St;Female;30;DEF Bank;No
152;21/10/2023;14:42;Visa;Tap;335.79;POS;Electronics;UK;876 Redwood St;709 Cedar St;Female;32;DEF Bank;No
153;17/09/2023;07:02;Visa;Tap;76.7;POS;Grocery;France;21 Oak St;946 Maple St;Female;28;XYZ Bank;No
154;18/10/2023;08:54;MasterCard;Tap;235.73;ATM;Clothing;Spain;651 Birch St;927 Cedar St;Male;49;XYZ Bank;No
155;21/10/2023;11:32;Visa;Tap;185.6;POS;Electronics;Spain;376 Birch St;123 Main St;Male;53;XYZ Bank;No
156;22/09/2023;23:52;MasterCard;Tap;58.61;POS;ATM Withdrawal;Italy;555 Elm St;225 Oak St;Female;36;XYZ Bank;No
157;10/10/2023;10:37;Visa;Tap;388.5;POS;Grocery;UK;575 Main St;130 Birch St;Female;29;XYZ Bank;No
158;21/09/2023;07:08;Visa;PIN;457.05;ATM;Clothing;Spain;782 Pine St;547 Maple St;Male;18;XYZ Bank;No
159;17/10/2023;16:39;Visa;PIN;381.03;POS;Electronics;USA;893 Pine St;608 Pine St;Female;19;DEF Bank;No
160;19/10/2023;05:04;Visa;PIN;62.95;ATM;Grocery;USA;941 Maple St;81 Redwood St;Male;42;DEF Bank;No
161;11/10/2023;11:29;MasterCard;Tap;116.6;ATM;Grocery;Spain;221 Pine St;577 Main St;Female;24;ABC Bank;No
162;19/10/2023;22:13;MasterCard;PIN;335.37;ATM;Food;Germany;128 Main St;91 Redwood St;Female;58;ABC Bank;No
163;04/10/2023;14:49;Visa;PIN;286.32;POS;Grocery;UK;256 Pine St;125 Elm St;Male;19;DEF Bank;No
164;02/10/2023;19:14;MasterCard;Tap;483.41;POS;ATM Withdrawal;France;911 Oak St;822 Birch St;Female;20;XYZ Bank;No
165;16/10/2023;21:38;MasterCard;Tap;25.81;POS;Electronics;Italy;698 Pine St;309 Birch St;Male;69;ABC Bank;No
166;07/10/2023;18:01;MasterCard;PIN;442.79;Online;Retail;UK;373 Main St;961 Elm St;Female;56;ABC Bank;No
167;19/10/2023;08:20;Visa;PIN;284.1;Online;Electronics;Spain;974 Oak St;460 Pine St;Male;32;ABC Bank;No
168;22/10/2023;19:45;MasterCard;PIN;427.97;ATM;Electronics;France;353 Pine St;330 Redwood St;Female;25;XYZ Bank;No
169;29/09/2023;00:30;MasterCard;PIN;332.01;ATM;Grocery;Italy;111 Elm St;222 Cedar St;Male;45;ABC Bank;No
170;08/10/2023;06:39;Visa;PIN;434.13;Online;Food;Germany;235 Redwood St;663 Oak St;Female;60;ABC Bank;No
171;03/10/2023;13:57;MasterCard;PIN;81.37;ATM;Clothing;Germany;891 Maple St;940 Pine St;Female;52;XYZ Bank;No
172;03/10/2023;04:32;Visa;Tap;276.2;POS;ATM Withdrawal;France;510 Cedar St;824 Redwood St;Female;44;DEF Bank;No
173;18/09/2023;11:48;MasterCard;PIN;141.85;ATM;Clothing;Canada;835 Maple St;626 Elm St;Male;46;DEF Bank;No
174;13/10/2023;16:12;Visa;PIN;180.21;Online;Grocery;Canada;420 Pine St;348 Cedar St;Male;33;XYZ Bank;No
175;15/10/2023;06:23;MasterCard;PIN;103.57;Online;ATM Withdrawal;Germany;300 Main St;404 Redwood St;Male;62;ABC Bank;No
176;03/10/2023;02:19;Visa;PIN;133.8;Online;Grocery;UK;755 Main St;845 Maple St;Female;20;XYZ Bank;No
177;03/10/2023;16:49;Visa;Tap;22.29;ATM;Food;UK;301 Main St;341 Oak St;Male;66;XYZ Bank;No
178;10/10/2023;13:11;MasterCard;Tap;495.33;Online;ATM Withdrawal;France;774 Maple St;341 Birch St;Male;52;ABC Bank;No
179;29/09/2023;07:17;MasterCard;PIN;452.32;ATM;Retail;USA;786 Maple St;785 Elm St;Female;43;ABC Bank;No
180;11/10/2023;09:09;MasterCard;PIN;97.28;ATM;Clothing;Germany;119 Oak St;41 Oak St;Female;54;ABC Bank;No
181;29/09/2023;04:12;Visa;Tap;137.83;Online;ATM Withdrawal;France;376 Redwood St;763 Cedar St;Female;61;DEF Bank;No
182;07/10/2023;23:51;Visa;Tap;390.29;ATM;Retail;USA;999 Redwood St;641 Pine St;Female;65;XYZ Bank;No
183;08/10/2023;09:48;MasterCard;PIN;56.49;POS;Electronics;France;687 Redwood St;641 Cedar St;Female;30;DEF Bank;No
184;28/09/2023;16:06;MasterCard;Tap;67.6;POS;ATM Withdrawal;USA;380 Pine St;25 Main St;Male;26;DEF Bank;No
185;22/09/2023;07:05;MasterCard;PIN;182.41;POS;ATM Withdrawal;UK;295 Cedar St;52 Birch St;Male;36;XYZ Bank;No
186;23/09/2023;03:49;MasterCard;PIN;428.92;ATM;Grocery;USA;171 Oak St;539 Elm St;Female;24;DEF Bank;No
187;30/09/2023;23:41;MasterCard;PIN;257.17;POS;Retail;France;21 Maple St;470 Oak St;Male;49;ABC Bank;No
188;21/09/2023;17:14;Visa;Tap;211.1;Online;ATM Withdrawal;UK;997 Main St;940 Main St;Male;64;DEF Bank;No
189;04/10/2023;18:12;MasterCard;Tap;234.57;ATM;Grocery;Germany;392 Main St;452 Birch St;Female;23;ABC Bank;No
190;03/10/2023;21:12;Visa;PIN;37.5;POS;Retail;USA;333 Birch St;225 Pine St;Female;24;DEF Bank;No
191;24/09/2023;02:50;Visa;Tap;479.53;Online;Clothing;Spain;158 Elm St;622 Elm St;Male;27;DEF Bank;No
192;22/10/2023;16:37;MasterCard;Tap;369.15;Online;Grocery;USA;235 Elm St;233 Cedar St;Female;53;ABC Bank;No
193;14/10/2023;13:13;Visa;PIN;132.14;Online;Clothing;Italy;273 Birch St;305 Cedar St;Male;63;ABC Bank;No
194;06/10/2023;22:41;Visa;Tap;25.48;Online;Electronics;Germany;860 Birch St;636 Pine St;Female;49;ABC Bank;No
195;23/09/2023;10:38;Visa;PIN;274.84;POS;Retail;UK;283 Birch St;335 Cedar St;Female;54;XYZ Bank;No
196;18/09/2023;11:25;MasterCard;Tap;218.18;Online;ATM Withdrawal;Germany;773 Pine St;85 Pine St;Male;44;XYZ Bank;No
197;24/09/2023;17:21;MasterCard;PIN;225.26;Online;Clothing;UK;403 Redwood St;305 Main St;Male;62;DEF Bank;No
198;25/09/2023;03:58;MasterCard;PIN;187.75;POS;Electronics;Italy;525 Pine St;956 Redwood St;Male;59;DEF Bank;No
199;28/09/2023;08:48;MasterCard;PIN;359.36;ATM;Retail;Germany;65 Oak St;669 Pine St;Male;39;ABC Bank;No
200;21/10/2023;23:55;MasterCard;PIN;51.56;Online;Retail;Spain;931 Elm St;905 Birch St;Female;69;ABC Bank;No
201;01/10/2023;14:22;Visa;Tap;186.51;POS;Retail;Canada;27 Oak St;261 Elm St;Male;23;XYZ Bank;No
202;18/10/2023;06:09;Visa;PIN;185.05;Online;ATM Withdrawal;Canada;154 Main St;572 Pine St;Male;49;ABC Bank;No
203;01/10/2023;16:06;MasterCard;Tap;229.1;ATM;Clothing;USA;605 Cedar St;572 Maple St;Male;25;XYZ Bank;No
204;21/09/2023;17:20;MasterCard;PIN;201.15;ATM;Retail;UK;888 Redwood St;864 Redwood St;Male;48;ABC Bank;No
205;27/09/2023;05:54;Visa;Tap;346.22;POS;ATM Withdrawal;UK;262 Cedar St;347 Oak St;Male;32;DEF Bank;No
206;21/10/2023;14:57;Visa;PIN;32.87;POS;Electronics;USA;205 Birch St;168 Cedar St;Male;61;DEF Bank;No
